iso_code,Human_Development,literacy_rate,Continent,country,Income Classification,year,co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_unit_energy,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,population,gdp,primary_energy_consumption,Field_1,Life_expectancy,total_population,Human_Development2,clean_water,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cumulative_co2_per_capita,share_oil_per_capita,share_cement_per_capita,share_coal_per_capita,share_flaring_per_capita,share_gas_per_capita,share_co2_per_capita,gdp_per_capita,difference_co2,share tot,share coal,share cement,share gas,share oil,share other
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2004,5223.755,3.948,3.268,18.25,92040.331,7.99,0.283,4013.684,70971.618,,1160.759,13461.155,2402.502,18.58,12.56,,0.82,3.3,48.99,1323084639,7830000000000,18484.936,4,72.689,1296075000,,,3835.288,379.992,,71.521,839.093,97.86,6.95649607643884e-05,2.49417150099647e-09,1.40429413601559e-08,9.49296789470171e-09,,6.19763827520334e-10,6.03891827059448e-09,5917.98874327344,678.741,5223.754,0.734201495705962,7.27430885910784e-02,1.36914946607363e-02,0.1606302670455,1.87336539967234e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2006,6488.804,4.848,3.775,21.22,104405.69,8.61,0.282,4895.42,80301.383,,1349.469,15209.861,2618.945,20.73,13.64,,0.89,3.53,48.53,1338408644,9490000000000,23022.389,6,73.271,1311020000,,,4905.374,470.087,,103.753,898.534,111.056,7.80073339095978e-05,2.6374605512485e-09,1.54885431239041e-08,1.01912073425013e-08,,6.64968807538574e-10,6.43301284596306e-09,7090.51009386637,612.249,6488.804,0.755975061043607,7.24458621342238e-02,1.59895413700275e-02,0.138474517029641,1.71150184225013e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2008,7496.832,5.539,4.417,23.38,118881.134,9.31,0.289,5936.325,91320.76,,1628.659,17107.329,2857.448,22.94,14.86,,0.99,3.78,48.31,1353569480,10800000000000,25956.957,8,73.835,1324655000,,,5729.474,525.924,,149.674,970.117,121.642,8.78278771474664e-05,2.79261615739149e-09,1.69477816535875e-08,1.09783799203274e-08,,7.3139946979301e-10,6.87811016542719e-09,7978.90330683283,518.22,7496.831,0.764252788945089,7.01528419141368e-02,1.99649691983186e-02,0.129403610672296,1.62257892701596e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2009,7886.533,5.794,4.944,24.95,126767.667,9.69,0.291,6519.885,97349.26,,1793.063,18089.677,2985.169,24.11,15.51,,1.06,3.9,48.48,1361169410,11600000000000,27089.785,9,74.119,1331260000,,,6028.5,583.56,,164.404,982.348,127.721,9.3131439825701e-05,2.86518340138132e-09,1.77127107198214e-08,1.13946139885703e-08,,7.7874215524723e-10,7.11887875881666e-09,8522.08396308289,389.701,7886.533,0.764404333310975,7.3994491622618e-02,2.08461690327042e-02,0.12456018379686,1.61948222368435e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2011,9528.556,6.922,5.858,27.64,144912.875,10.53,0.305,7868.041,111227.84,,2238.638,20306.107,3241.636,26.55,16.94,,1.23,4.17,48.55,1376497633,13700000000000,31261.361,11,74.708,1344130000,,89.26848693,7309.786,708.564,,245.99,1123.859,140.356,1.05276515938622e-04,3.02942765757738e-09,1.92880825680287e-08,1.23065958080002e-08,,8.93572186767429e-10,7.64984969647238e-09,9952.79590139332,911.903,9528.555,0.767145280685267,7.43621671911428e-02,2.58160864895044e-02,0.117946425244961,1.47300403891251e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2012,9775.622,7.062,6.045,27.95,154688.497,10.97,0.301,8582.823,118692.646,,2516.237,21482.819,3383.358,27.68,17.68,,1.33,4.31,48.66,1384206408,14400000000000,32512.623,12,75.013,1350695000,,89.93455887,7464.806,714.782,,277.599,1176.712,141.722,1.11752478608667e-04,3.1136974768289e-09,1.99970176702144e-08,1.27726615754838e-08,,9.60839360599174e-10,7.92511863591951e-09,10403.0727764121,247.065999999999,9775.621,0.763614505922437,7.31188330644161e-02,2.83970706311139e-02,0.120372097077004,1.44974933050289e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2013,9952.744,7.151,6.178,28.21,164641.241,11.39,0.295,9331.146,126186.101,,2836.365,22717.441,3539.575,28.75,18.38,,1.45,4.46,48.85,1391883335,15300000000000,33715.209,13,75.321,1357380000,,90.57190917,7493.454,748.323,,320.127,1234.622,156.217,1.18286667323307e-04,3.20429154358688e-09,2.06554667888168e-08,1.32051297244679e-08,,1.04175397717511e-09,8.18315710346514e-09,10992.3005867442,177.122000000001,9952.743,0.752903395576476,7.51876141079901e-02,3.21647007262219e-02,0.12404841559759,1.56958739917227e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2014,9985.583,7.135,6.215,28.1,174626.824,11.79,0.289,10109.773,133611.17,,3189.956,23980.514,3704.798,29.78,19.04,,1.58,4.6,49.07,1399453966,16200000000000,34499.453,14,75.629,1364270000,,91.1813536,7425.069,778.627,,353.591,1263.073,165.223,1.24782113769078e-04,3.28699629409604e-09,2.1279728182213e-08,1.36053063999105e-08,,1.12901177058081e-09,8.42471441465049e-09,11575.9434705121,32.8389999999999,9985.583,0.743578917725685,7.79751167257836e-02,3.54101508144292e-02,0.126489660143028,1.6546154591074e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2016,9720.444,6.874,6.153,27.42,194195.688,12.51,0.276,11574.812,147949.555,,3959.366,26643.396,4037.945,31.4,20.25,,1.84,4.89,49.55,1414049353,17300000000000,35264.122,16,76.21,1378665000,,92.31599823,7071.406,743.044,,402.762,1335.304,167.928,1.37333034089652e-04,3.4581536985435e-09,2.22057313158008e-08,1.43205751320053e-08,,1.30122756755011e-09,8.84693308154995e-09,12234.3678905527,-127.976000000001,9720.444,0.727477674888102,7.64413642010591e-02,4.14345270648131e-02,0.137370679775533,1.72757540704931e-02
CHN,0.5322,95.98268509,Asia,China,Upper-middle income,2017,9920.459,6.981,6.255,27.61,204116.147,12.85,0.273,12332.997,155086.819,,4423.819,28034.221,4207.678,32.15,20.81,,1.99,5.03,49.79,1421021794,17600000000000,36342.177,17,76.47,1386395000,,92.84090791,7137.264,758.185,,464.452,1390.825,169.733,1.43640405700914e-04,3.53970644309485e-09,2.26245650388667e-08,1.46443918649709e-08,,1.40040075979299e-09,9.04278882579897e-09,12385.4539559581,200.015000000001,9920.459,0.719448969044678,7.64264032541236e-02,4.6817591806992e-02,0.140197646096819,1.71093897973874e-02
